,column_name,percent_available
326 MHz (WSRT),326 MHz (WSRT),0.0
151.3 GHz (GBT),151.3 GHz (GBT),0.0
234.1 GHz (GBT),234.1 GHz (GBT),0.0
F28x50LP (STIS),F28x50LP (STIS),0.0
22 cm (WSRT),22 cm (WSRT),0.0
14.60 GHz Effelsberg,14.60 GHz Effelsberg,0.0
22 GHz (VLBI),22 GHz (VLBI),0.0
42.00 GHz Effelsberg,42.00 GHz Effelsberg,0.0
L' (UKIRT/IRCAM3),L' (UKIRT/IRCAM3),0.0
38 MHz (8C),38 MHz (8C),0.0
L,L,0.0
U (ESO/WFI) AB,U (ESO/WFI) AB,0.0
240 MHz (GMRT),240 MHz (GMRT),0.0
96.4 GHz (GBT),96.4 GHz (GBT),0.0
20.1 GHz (ATCA),20.1 GHz (ATCA),0.0
F606W (HST/WFPC2),F606W (HST/WFPC2),0.0
H_2O (3_13-2_20) VLA,H_2O (3_13-2_20) VLA,0.0
11.7 microns Subaru,11.7 microns Subaru,0.0
1514 MHz (VLA),1514 MHz (VLA),0.0
Si II,Si II,0.0
[S XI] 1.920 (WHT),[S XI] 1.920 (WHT),0.0
Ne I 1.292 (WHT),Ne I 1.292 (WHT),0.0
Ne II 1.287 (WHT),Ne II 1.287 (WHT),0.0
i' (GMOS-S) AB,i' (GMOS-S) AB,0.0
5.95 GHz (EVLA),5.95 GHz (EVLA),0.0
32.5 GHz (EVLA),32.5 GHz (EVLA),0.0
235 MHz (GMRT),235 MHz (GMRT),0.0
148 GHz (ACT),148 GHz (ACT),0.0
75.6 GHz (GBT),75.6 GHz (GBT),0.0
14.5 GHz (UMRAO),14.5 GHz (UMRAO),0.0
6.65 GHz (Ceduna),6.65 GHz (Ceduna),0.0
HCN(3-2) (SMA),HCN(3-2) (SMA),0.0
HCO^+^(3-2) (SMA),HCO^+^(3-2) (SMA),0.0
810 microns (SMA),810 microns (SMA),0.0
540 microns,540 microns,0.0
390 microns,390 microns,0.0
134 microns,134 microns,0.0
[Ne II] 36.0 (IRS),[Ne II] 36.0 (IRS),0.0
Q1 (VLT),Q1 (VLT),0.0
14.9 microns ISOCAM,14.9 microns ISOCAM,0.0
6.8 microns (ISOCAM),6.8 microns (ISOCAM),0.0
M' (VLT/NACO),M' (VLT/NACO),0.0
[Na VII] (UKIRT),[Na VII] (UKIRT),0.0
[Ar VI] (UKIRT),[Ar VI] (UKIRT),0.0
M (VLT),M (VLT),0.0
[Si IX] (UKIRT),[Si IX] (UKIRT),0.0
L (VLT),L (VLT),0.0
H I 8-5 (UKIRT),H I 8-5 (UKIRT),0.0
[Al VI] (UKIRT),[Al VI] (UKIRT),0.0
[Si VII] line,[Si VII] line,0.0
J (VLT),J (VLT),0.0
3.5-15 keV (XMM),3.5-15 keV (XMM),0.0
17-80 keV (INTEGRAL),17-80 keV (INTEGRAL),0.0
R (Cousins) (ESO),R (Cousins) (ESO),0.0
20.4 microns,20.4 microns,0.0
Qa (Gemini),Qa (Gemini),0.0
Si2 (Gemini),Si2 (Gemini),0.0
0.2-8 keV (Chandra),0.2-8 keV (Chandra),0.0
3.5 mm (IRAM),3.5 mm (IRAM),0.0
1.4 mm (SMA),1.4 mm (SMA),0.0
1.2 mm (IRAM),1.2 mm (IRAM),0.0
0.35-2.0 keV (XMM),0.35-2.0 keV (XMM),0.0
U (Swift),U (Swift),0.0
101 GHz (NMA),101 GHz (NMA),0.0
8.4 microns,8.4 microns,0.0
89 GHz (IRAM),89 GHz (IRAM),0.0
165.3 GHz (GBT),165.3 GHz (GBT),0.0
82.6 GHz (GBT),82.6 GHz (GBT),0.0
N_2_ (ESO),N_2_ (ESO),0.0
5.8 microns (IRS),5.8 microns (IRS),0.0
12.9 microns (IRS),12.9 microns (IRS),0.0
CI(2-1) (PdBI),CI(2-1) (PdBI),0.0
CO(3-2) (OVRO),CO(3-2) (OVRO),0.0
350 GHz (SCUBA),350 GHz (SCUBA),0.0
Fe II (NTT),Fe II (NTT),0.0
HCN (J=4-3) (ALMA),HCN (J=4-3) (ALMA),0.0
HNC (J=4-3) (ALMA),HNC (J=4-3) (ALMA),0.0
252.762 GHz (PdBI),252.762 GHz (PdBI),0.0
H_2 S(4) 8.0 (IRS),H_2 S(4) 8.0 (IRS),0.0
[Ne VI] 7.7 (IRS),[Ne VI] 7.7 (IRS),0.0
PAH 6.22 (IRS),PAH 6.22 (IRS),0.0
153.704 GHz (PdBI),153.704 GHz (PdBI),0.0
540.90 MHz (GBT),540.90 MHz (GBT),0.0
H_2 S(4) line,H_2 S(4) line,0.0
2.5-12 keV (XMM),2.5-12 keV (XMM),0.0
134.969 GHz (NMA),134.969 GHz (NMA),0.0
F439W (HST),F439W (HST),0.0
12 mm (VLA),12 mm (VLA),0.0
HCO+ (J=4-3) (ALMA),HCO+ (J=4-3) (ALMA),0.0
K' (m_K' Int.),K' (m_K' Int.),0.0
Fe II,Fe II,0.0
900 microns (SMA),900 microns (SMA),0.0
z' (CFHT),z' (CFHT),0.0
Ca II,Ca II,0.0
19.5 microns (IRS),19.5 microns (IRS),0.0
19 microns (IRS),19 microns (IRS),0.0
0.35-1.55 keV (XMM),0.35-1.55 keV (XMM),0.0
968 MHz,968 MHz,0.0
0.15-3.5 keV (IPC),0.15-3.5 keV (IPC),0.0
6909 A (Keck I),6909 A (Keck I),0.0
609 MHz (WSRT),609 MHz (WSRT),0.0
11.5 microns (GTC),11.5 microns (GTC),0.0
0.5-4.5 keV,0.5-4.5 keV,0.0
0.2 keV (Einstein),0.2 keV (Einstein),0.0
0.3-3.5 keV Einstein,0.3-3.5 keV Einstein,0.0
4 keV (Einstein),4 keV (Einstein),0.0
8.1 GHz,8.1 GHz,0.0
3.2 mm,3.2 mm,0.0
[Ca VIII] 2.322 WHT,[Ca VIII] 2.322 WHT,0.0
O I 1.317 (WHT),O I 1.317 (WHT),0.0
