,name,csc_index,catalog,class,cat_name,var_flag,streak_src_flag,pileup_flag,ra,dec,gal_b2,gal_l2,hard_hs,hard_hm,hard_ms,var_inter_prob_b,var_inter_sigma_b,var_intra_prob_b,var_inter_index_b,kp_intra_prob_b,var_intra_index_b,var_inter_hard_prob_hs,ks_intra_prob_b,var_inter_hard_sigma_hm,var_inter_hard_prob_ms,var_inter_hard_prob_hm,index,2-7 keV Chandra,0.5-7 keV Chandra,1.2-2 keV Chandra,0.5-1.2 keV Chandra,0.2-0.5 keV Chandra,0.3-8 keV (Chandra),0.5-2 keV (Chandra),FUV (GALEX) AB,NUV (GALEX) AB,u (SDSS PSF) AB,g (SDSS PSF) AB,r (SDSS PSF) AB,i (SDSS PSF) AB,z (SDSS PSF) AB,W1 (WISE),W2 (WISE),W3 (WISE),W4 (WISE),2-10 keV (XMM),4.5 microns (IRAC),8.0 microns (IRAC),24 microns (MIPS),J (2MASS/CTIO),H (2MASS/CTIO),K_s (2MASS/CTIO),0.5-8 keV (Chandra),3.6 microns (IRAC),5.8 microns (IRAC),1-2 keV (Chandra)
116,2CXO J002402.8-720449,CSC_191414,HEA,LMXB,CXOGLB J002403.4-720451 ,1,0,0,6.011798331598811,-72.08033221072942,-44.889727,305.900084,-0.27857589006871003,0.047470331043098,-0.31980012492192,1.0,2.4530498914011e-05,1.0,8.0,1.0,10.0,0.6502352056889301,1.0,0.5581471631031301,0.46580810691468,0.5513406398660999,114,1.4732049999999996e-15,1.8648824999999998e-14,4.36545e-15,3.6679e-15,1.0652225e-14,4.55e-14,,,,,,,,,,,,,,,,,,,,,,,
117,2CXO J002402.8-720449,CSC_191414,OPENCV,CV,CXOGlb J002402.8-720449,1,0,0,6.011798331598811,-72.08033221072942,-44.889727,305.900084,-0.27857589006871003,0.047470331043098,-0.31980012492192,1.0,2.4530498914011e-05,1.0,8.0,1.0,10.0,0.6502352056889301,1.0,0.5581471631031301,0.46580810691468,0.5513406398660999,114,1.4732049999999996e-15,1.8648824999999998e-14,4.36545e-15,3.6679e-15,1.0652225e-14,4.55e-14,,,,,,,,,,,,,,,,,,,,,,,
137,2CXO J002405.1-720604,CSC_191453,STAR,STAR,CXOGLB J002405.1-720604      ,1,0,0,6.0216421903620585,-72.10125427142863,-44.869494,305.8914410000001,-0.8382261086820699,0.096189881324172,-0.84821986258588,0.1973155328273901,1.8572629178553e-07,0.5658656755427,0.0,0.946272831649826,1.0,0.8231372980814001,0.94875624595977,0.54961627586808,0.66072116852883,0.72533808625814,134,9.0213e-16,1.03125e-15,8.168050000000001e-16,1.007625e-16,2.8214499999999997e-16,3.6e-15,,,,,,,,,,,,,,,,,,,,,,,
138,2CXO J002405.1-720604,CSC_191453,OPENCV,CV,Cl_ NGC 104 AGBWF 4-16,1,0,0,6.0216421903620585,-72.10125427142863,-44.869494,305.8914410000001,-0.8382261086820699,0.096189881324172,-0.84821986258588,0.1973155328273901,1.8572629178553e-07,0.5658656755427,0.0,0.9462728316498259,1.0,0.8231372980814001,0.94875624595977,0.54961627586808,0.66072116852883,0.72533808625814,134,9.0213e-16,1.03125e-15,8.168050000000001e-16,1.007625e-16,2.8214499999999997e-16,3.6e-15,,,,,,,,,,,,,,,,,,,,,,,
142,2CXO J002405.6-720449,CSC_191461,HEA,LMXB,NGC 104-W37             ,1,0,0,6.023632019372201,-72.08035581717851,-44.890249,305.8949970000001,-0.49594003747658,-0.12367270455964999,-0.39600249843847996,0.9918718782497816,1.9680147155025003e-06,0.99999999775436,6.0,0.9999999999339004,8.0,0.03828337665053005,0.9999999999574096,0.18808071870506,0.02564122310810002,0.14513412255382996,138,2.54185e-15,9.039299999999998e-15,3.32355e-15,1.9692e-15,3.9472499999999996e-15,3.07e-14,,,,,,,,,,,,,,,,,10.0925,10.218,8.276,,,,
143,2CXO J002405.6-720449,CSC_191461,OPENCV,CV,W32,1,0,0,6.023632019372201,-72.08035581717851,-44.890249,305.8949970000001,-0.49594003747658,-0.12367270455964999,-0.39600249843847996,0.9918718782497816,1.9680147155025003e-06,0.99999999775436,6.0,0.9999999999339004,8.0,0.03828337665053005,0.9999999999574096,0.18808071870506,0.02564122310810002,0.14513412255382996,138,2.54185e-15,9.039299999999998e-15,3.32355e-15,1.9692e-15,3.9472499999999996e-15,3.07e-14,,,,,,,,,,,,,,,,,10.0925,10.218,8.276,,,,
172,2CXO J002407.8-720441,CSC_191502,STAR,STAR,CXOGLB J002407.8-720441      ,1,0,0,6.032612401099301,-72.07823242533864,-44.892761,305.891588,-0.16989381636476994,-0.092442223610244,-0.078700811992505,0.8701120390560401,2.1596907153435e-06,0.99999997208777,5.0,0.999999999712467,8.0,0.17206654331520002,0.9999995345138796,0.11621199635275,0.4973567311967601,0.55341250813083,164,7.058849999999998e-16,1.50565e-14,3.3259999999999996e-15,4.3164e-15,7.33855e-15,3.29e-14,,,,,,,,,,,,,,,,,,,,,,,
173,2CXO J002407.8-720441,CSC_191502,ATNF,PULSAR,PSR J0024-7204I ,1,0,0,6.032612401099301,-72.07823242533864,-44.892761,305.891588,-0.16989381636476994,-0.092442223610244,-0.078700811992505,0.8701120390560401,2.1596907153435e-06,0.99999997208777,5.0,0.999999999712467,8.0,0.17206654331520002,0.9999995345138796,0.11621199635275,0.4973567311967601,0.55341250813083,164,7.058849999999998e-16,1.50565e-14,3.3259999999999996e-15,4.3164e-15,7.33855e-15,3.29e-14,,,,,,,,,,,,,,,,,,,,,,,
197,2CXO J002410.7-720425,CSC_191539,STAR,STAR,CXOGLB J002410.0-720426      ,1,0,0,6.044884553019074,-72.07382630961833,-44.897681,305.887245,0.7420362273579,0.52717051842598,0.35352904434728005,0.6399474140909599,2.1456979101952e-06,0.93372348310388,4.0,0.9295366216276628,6.0,0.8319995565067699,0.977145265447394,0.26472784839063,0.9085641982679692,0.89882336652621,188,3.2794499999999996e-17,3.4608e-14,9.440849999999998e-16,3.0439e-15,3.1852499999999996e-14,2.99e-14,,,,,,,,,,,,,,,,,,,,,,,
198,2CXO J002410.7-720425,CSC_191539,OPENCV,CV,CXOGlb J002410.7-720425,1,0,0,6.044884553019074,-72.07382630961833,-44.897681,305.887245,0.7420362273579,0.52717051842598,0.35352904434728005,0.6399474140909599,2.1456979101952e-06,0.93372348310388,4.0,0.9295366216276628,6.0,0.8319995565067699,0.9771452654473941,0.26472784839063,0.9085641982679692,0.89882336652621,188,3.2794499999999996e-17,3.4608e-14,9.440849999999998e-16,3.0439e-15,3.1852499999999996e-14,2.99e-14,,,,,,,,,,,,,,,,,,,,,,,
406,2CXO J004123.9+411500,CSC_208226,STAR,STAR,[PFH2005] 136                ,1,0,0,10.349736445219264,41.25008567805192,-21.582111,120.902956,,,,,,,,,,0.89191390214396,,0.20107358093984,0.30564120751459994,0.56492241171914,397,3.85485e-16,1.1068499999999998e-15,3.93055e-15,8.568799999999999e-16,1.65365e-15,,,,,,,,,,,,,,,,,,,,,,,,2.595975e-14
407,2CXO J004123.9+411500,CSC_208226,OPENCV,CV,2MASS J00412375+4114596,1,0,0,10.349736445219264,41.25008567805192,-21.582110999999998,120.902956,,,,,,,,,,0.89191390214396,,0.20107358093984,0.30564120751459994,0.56492241171914,397,3.85485e-16,1.1068499999999998e-15,3.93055e-15,8.568799999999999e-16,1.65365e-15,,,,,,,,,,,,,,,,,,,,,,,,2.595975e-14
