,band,freq,unit
0,2-7 keV Chandra,9.19e+17,erg/cm^2/s
1,0.5-7 keV Chandra,5.56e+17,erg/cm^2/s
2,1.2-2 keV Chandra,3.77e+17,erg/cm^2/s
3,0.5-1.2 keV Chandra,2.22e+17,erg/cm^2/s
4,0.2-0.5 keV Chandra,9.67e+16,erg/cm^2/s
5,0.3-8 keV (Chandra),1e+18,erg/cm^2^/s
6,0.3-3.5 keV (EO IPC),3.87e+17,ergs cm^-2^ s^-1^
7,0.5-2 keV (Chandra),3.02e+17,erg/cm^2^/s
8,FUV (GALEX) AB,1950000000000000.0,mag
9,1700 A (SDSS),1760000000000000.0,log(erg/cm^2^/s/A)
10,NUV (GALEX) AB,1290000000000000.0,mag
11,u (SDSS PSF) AB,836000000000000.0,asinh mag
12,g (SDSS PSF) AB,617000000000000.0,asinh mag
13,r (SDSS PSF) AB,477000000000000.0,asinh mag
14,i (SDSS PSF) AB,389000000000000.0,asinh mag
15,z (SDSS PSF) AB,325000000000000.0,asinh mag
16,W1 (WISE),89400000000000.0,mag
17,W2 (WISE),65100000000000.0,mag
18,W3 (WISE),25900000000000.0,mag
19,W4 (WISE),13600000000000.0,mag
20,2-10 keV (XMM),1.45e+18,erg/cm^2^/s
21,4.5 microns (IRAC),66700000000000.0,microJy
22,8.0 microns (IRAC),38100000000000.0,microJy
23,24 microns (MIPS),12700000000000.0,microJy
24,0.5-10 keV (XMM),1.27e+18,erg/cm^2^/s
25,0.5-4.5 keV (XMM),6.05e+17,erg/cm^2^/s
26,[O III] line,599000000000000.0,log(W/m^2^)
27,FUV (GALEX) AB,1970000000000000.0,mag
28,NUV (GALEX) AB,1360000000000000.0,mag
29,J (2MASS/CTIO),243000000000000.0,mag
30,H (2MASS/CTIO),180000000000000.0,mag
31,K_s (2MASS/CTIO),139000000000000.0,mag
32,b_J,641000000000000.0,mag
33,8.4 GHz (VLA),8400000000.0,milliJy
34,4.85 GHz,4850000000.0,milliJy
35,1.4GHz,1400000000.0,milliJy
36,0.5-8 keV (Chandra),1.03e+18,log(erg/cm^2^/s)
37,FUV (GALEX) AB,1960000000000000.0,mag
38,NUV (GALEX) AB,1300000000000000.0,mag
39,2 keV (Chandra),4.84e+17,log(ergs/cm^2^/s/Hz)
40,2500 A,1200000000000000.0,log(ergs/cm^2^/s/Hz)
41,U_n AB,844000000000000.0,mag
42,G AB,627000000000000.0,mag
43,R AB,439000000000000.0,mag
44,J,240000000000000.0,mag
45,H,182000000000000.0,mag
46,K_s_14arcsec (2MASS),138000000000000.0,mag
47,3.6 microns (IRAC),84400000000000.0,microJy
48,5.8 microns (IRAC),52300000000000.0,microJy
49,B (VLT) (Johnson),681000000000000.0,mag
50,C IV line (VLT),1930000000000000.0,ergs/cm^2^/s
51,Mg II line (VLT),1070000000000000.0,ergs/cm^2^/s
52,Fe II line (VLT),1010000000000000.0,ergs/cm^2^/s
53,3000 A,999000000000000.0,erg/s/cm^2^/A
54,i (PAN-STARRS1) AB,397000000000000.0,mag
55,z (PAN-STARRS1) AB,345000000000000.0,mag
56,y (PAN-STARRS1) AB,315000000000000.0,mag
57,103a-O (POSS-I O),740000000000000.0,mag
58,103a-E (POSS-I E),465000000000000.0,mag
59,2-7 keV (Chandra),1.09e+18,erg/cm^2^/s
60,0.5-7 keV (Chandra),9.07e+17,erg/cm^2^/s
61,1-2 keV (Chandra),3.63e+17,erg/cm^2^/s
62,0.5-1 keV (Chandra),1.81e+17,erg/cm^2^/s
63,U,819000000000000.0,mag
64,V,542000000000000.0,mag
65,12 microns (ISOCAM),25000000000000.0,milliJy
66,70 microns,4200000000000.0,milliJy
67,230 GHz,230000000000.0,milliJy
68,90 GHz,90000000000.0,milliJy
69,43.34 GHz (VLA),43300000000.0,milliJy
70,22.46 GHz (VLA),22500000000.0,milliJy
71,22 GHz (ATCA),22000000000.0,Jy
72,20 GHz (ATCA),19900000000.0,milliJy
73,18.5 GHz (ATCA),18500000000.0,Jy
74,14900 MHz,14900000000.0,Jy
75,10.7 GHz (NRAO),10700000000.0,Jy
76,8870 MHz,8870000000.0,Jy
77,8.46 GHz (VLA),8460000000.0,milliJy
