,freq
0,10000000.0
1,12600000.0
2,14700000.0
3,16700000.0
4,20000000.0
5,22200000.0
6,22300000.0
7,25000000.0
8,26300000.0
9,37800000.0
10,38000000.0
11,57500000.0
12,60000000.0
13,73800000.0
14,74000000.0
15,80000000.0
16,86000000.0
17,111000000.0
18,130000000.0
19,138000000.0
20,145000000.0
21,146000000.0
22,150000000.0
23,151000000.0
24,152000000.0
25,153000000.0
26,154000000.0
27,155000000.0
28,160000000.0
29,161000000.0
30,168000000.0
31,169000000.0
32,178000000.0
33,186000000.0
34,235000000.0
35,237000000.0
36,240000000.0
37,244000000.0
38,302000000.0
39,318000000.0
40,320000000.0
41,324000000.0
42,325000000.0
43,326000000.0
44,327000000.0
45,328000000.0
46,332000000.0
47,333000000.0
48,352000000.0
49,365000000.0
50,408000000.0
51,430000000.0
52,468000000.0
53,515000000.0
54,541000000.0
55,555000000.0
56,580000000.0
57,605000000.0
58,606000000.0
59,607000000.0
60,608000000.0
61,609000000.0
62,610000000.0
63,615000000.0
64,635000000.0
65,750000000.0
66,786000000.0
67,843000000.0
68,858000000.0
69,863000000.0
70,960000000.0
71,966000000.0
72,968000000.0
73,1000000000.0
74,1140000000.0
75,1290000000.0
76,1300000000.0
77,1310000000.0
78,1340000000.0
79,1350000000.0
80,1360000000.0
81,1370000000.0
82,1380000000.0
83,1390000000.0
84,1400000000.0
85,1410000000.0
86,1420000000.0
87,1430000000.0
88,1450000000.0
89,1460000000.0
90,1470000000.0
91,1480000000.0
92,1490000000.0
93,1500000000.0
94,1510000000.0
95,1540000000.0
96,1600000000.0
97,1630000000.0
98,1640000000.0
99,1650000000.0
100,1660000000.0
101,1670000000.0
102,1700000000.0
103,2000000000.0
104,2200000000.0
105,2250000000.0
106,2260000000.0
107,2270000000.0
108,2300000000.0
109,2310000000.0
110,2380000000.0
111,2400000000.0
112,2500000000.0
113,2640000000.0
114,2650000000.0
115,2700000000.0
116,3000000000.0
117,3100000000.0
118,3900000000.0
119,3940000000.0
120,4500000000.0
121,4530000000.0
122,4540000000.0
123,4560000000.0
124,4580000000.0
125,4710000000.0
126,4750000000.0
127,4760000000.0
128,4780000000.0
129,4790000000.0
130,4800000000.0
131,4820000000.0
132,4830000000.0
133,4840000000.0
134,4850000000.0
135,4860000000.0
136,4870000000.0
137,4880000000.0
138,4890000000.0
139,4900000000.0
140,4910000000.0
141,4940000000.0
142,4980000000.0
143,4990000000.0
144,5000000000.0
145,5010000000.0
146,5500000000.0
147,5950000000.0
148,6100000000.0
149,6630000000.0
150,6650000000.0
151,6700000000.0
152,7700000000.0
153,7900000000.0
154,8000000000.0
155,8080000000.0
156,8090000000.0
157,8100000000.0
158,8110000000.0
159,8240000000.0
160,8260000000.0
161,8300000000.0
162,8330000000.0
163,8340000000.0
164,8350000000.0
165,8390000000.0
166,8400000000.0
167,8410000000.0
168,8430000000.0
169,8440000000.0
170,8460000000.0
171,8480000000.0
172,8490000000.0
173,8500000000.0
174,8510000000.0
175,8560000000.0
176,8570000000.0
177,8600000000.0
178,8640000000.0
179,8870000000.0
180,8890000000.0
181,9000000000.0
182,10500000000.0
183,10600000000.0
184,10700000000.0
185,11100000000.0
186,11200000000.0
187,14000000000.0
188,14500000000.0
189,14600000000.0
190,14700000000.0
191,14900000000.0
192,15000000000.0
193,15100000000.0
194,15200000000.0
195,15300000000.0
196,15400000000.0
197,15600000000.0
198,15700000000.0
199,16100000000.0
200,17000000000.0
201,17900000000.0
202,18000000000.0
203,18500000000.0
204,19000000000.0
205,19900000000.0
206,20000000000.0
207,20100000000.0
208,21000000000.0
209,21700000000.0
210,22000000000.0
211,22200000000.0
212,22300000000.0
213,22400000000.0
214,22500000000.0
215,23000000000.0
216,23100000000.0
217,23400000000.0
218,24000000000.0
219,24100000000.0
220,24400000000.0
221,25000000000.0
222,25100000000.0
223,27300000000.0
224,27800000000.0
225,28500000000.0
226,30000000000.0
227,31000000000.0
228,31300000000.0
229,31400000000.0
230,31600000000.0
231,32000000000.0
232,32500000000.0
233,33000000000.0
234,34000000000.0
235,34800000000.0
236,36800000000.0
237,37000000000.0
238,37900000000.0
239,38300000000.0
240,40000000000.0
241,41000000000.0
242,41500000000.0
243,42000000000.0
244,42400000000.0
245,43000000000.0
246,43100000000.0
247,43200000000.0
248,43300000000.0
249,44000000000.0
250,46000000000.0
251,61000000000.0
252,62000000000.0
253,70000000000.0
254,75600000000.0
255,77000000000.0
256,81600000000.0
257,82600000000.0
258,82700000000.0
259,84000000000.0
260,84200000000.0
261,85300000000.0
262,85500000000.0
263,85600000000.0
264,85700000000.0
265,86000000000.0
266,86200000000.0
267,86300000000.0
268,86500000000.0
269,86900000000.0
270,87000000000.0
271,87100000000.0
272,87300000000.0
273,88000000000.0
274,88600000000.0
275,88900000000.0
276,89000000000.0
277,89200000000.0
278,89600000000.0
279,90000000000.0
280,90700000000.0
281,90800000000.0
282,91000000000.0
283,92900000000.0
284,93000000000.0
285,93100000000.0
286,94000000000.0
287,94400000000.0
288,95000000000.0
289,95700000000.0
290,96400000000.0
291,96700000000.0
292,99900000000.0
293,100000000000.0
294,101000000000.0
295,105000000000.0
296,107000000000.0
297,108000000000.0
298,109000000000.0
299,110000000000.0
300,111000000000.0
301,112000000000.0
302,113000000000.0
303,114000000000.0
304,115000000000.0
305,135000000000.0
306,136000000000.0
307,140000000000.0
308,141000000000.0
309,143000000000.0
310,147000000000.0
311,148000000000.0
312,150000000000.0
313,151000000000.0
