,Photometry Measurement,Uncertainty
0,2e-13,0
1,3.3e-13,0
2,2.3e-13,0
3,,0.390E-14
4,2.8e-13,0
5,1.3800000000000002e-13,0
6,1.5249000000000001e-13,0*1.2969E-14
7,1.5249000000000001e-13,0*1.2969E-14
8,1.357e-13,0*1.3545E-14
9,1.357e-13,0*1.3545E-14
10,2.1535e-14,0*2.8349E-15
11,2.1535e-14,0*2.8349E-15
12,1.5387999999999998e-14,0*2.4246E-15
13,1.5387999999999998e-14,0*2.4246E-15
14,7e-14,0
15,1.5636e-14,0*2.5320E-15
16,1.5636e-14,0*2.5320E-15
17,1.2217e-14,0*2.1963E-15
18,1.2217e-14,0*2.1963E-15
19,1.186e-13,0*1.6779E-14
20,1.186e-13,0*1.6779E-14
21,1.2123e-13,0*1.8588E-14
22,1.2123e-13,0*1.8588E-14
23,16.75,0
24,16.85,0
25,1.53e-14,0*4.E-16
26,1.05e-14,0*6.E-16
27,1.24e-13,0*17.0E-15
28,9.9e-15,0*3.00E-15
29,7.3e-15,0*2.60E-15
30,15.543,0*0.002
31,13.687000000000001,0*0.050
32,13.720999999999998,0*0.023
33,14.030999999999999,0*0.002
34,13.747,0*0.013
35,14.382,0*0.002
36,13.700999999999999,0*0.036
37,14.793,0*0.002
38,13.804,0*0.006
39,14.159,0*0.002
40,14.9,0*0.3
41,2.35e-14,0*2.30E-15
42,4.45e-14,0*2.90E-15
43,13.71,0
44,13.71,0
45,14.117,0*0.001
46,14.818,0*0.001
47,13.550999999999998,0*0.001
48,13.436,0*0.001
49,13.115,0*0.023
50,13.224,0*0.004
51,13.749,0*0.001
52,13.14,0*0.014
53,13.168,0*0.008
54,13.097999999999999,0*0.032
55,1.87e-14,0*2.70E-15
56,13.4,0*0.3
57,2.037e-13,0*9.1E-15
58,2.205e-13,0*9.60E-15
59,6.26e-14,0*4.10E-15
60,1.27e-14,0*3.60E-15
61,13.06,0
62,13.06,0
63,13.493,0*0.001
64,12.029000000000002,0*0.033
65,12.623,0*0.001
66,12.078,0*0.012
67,12.455,0*0.001
68,12.352,0*0.001
69,12.011,0*0.047
70,12.923,0*0.001
71,12.052,0*0.021
72,12.139000000000001,0*0.006
73,35.7,0*2.38
74,11.895,0*0.005
75,12.311,0*0.06
76,11.618,0*0.016
77,11.397,0*0.017
78,11.24,0*0.025
79,11.323,0*0.018
80,1.376e-14,0*1.24E-15
81,1.283e-14,0*1.13E-15
82,50.1,0*3.34
83,2.23,0*1.64
84,1.1e-14,0*2.87E-15
85,10.613,0*0.018
86,10.464,0*0.029
87,10.796,0*0.017
88,10.547,0*0.020
89,11.019,0*0.011
90,11.347000000000001,0*0.06
91,1.243e-14,0*1.02E-15
92,4.66e-15,0*0.23E-15
93,3.947e-14,0
94,1.215e-14,0*1.27E-15
95,10.689,0*0.035
96,10.509,0*0.006
97,10.325,0*0.017
98,10.175,0*0.018
99,7.12e-15,0*0.13E-15
100,10.074,0*0.030
101,10.116,0*0.020
102,2.16,0*1.57
103,45.7,0*3.04
104,,2.13E-15
105,,0.73E-15
106,4.560000000000001e-13,0
107,4.32e-16,0*0.23E-16
108,9.55,0*0.05
109,3e-14,0
110,2.8999999999999997e-17,0*0.09E-16
111,32811.0,0*9.1479E+00
112,27937.0,0*9.4487E+00
113,9.24,0*0.04
114,0.115,0*3.16E-02
115,6.12e-14,0*0.215E-13
116,7.74,0*0.05
117,,0.0804
118,1.0409999999999999e-18,0*5.42E-19
119,,5.070E-13
120,3.35e-19,0*0.9E-20
121,7.35e-15,0*34E-17
122,3.35e-19,0
123,9.214e-12,0*0.177E-12
124,3.5299999999999997e-19,0*0.05E-19
125,,5.970E-13
126,1.8000000000000002e-20,0*0.03E-19
127,1.47e-14,0*150E-17
128,7.89e-15,0*45E-17
129,475.0,0
130,3.8080999999999995e-11,0*1.162E-12
131,9.429999999999999e-15,0*40E-17
132,5.09,0*0.02
133,,2.680E-13
134,4.15e-15,0*29E-17
135,4.51e-15,0*21E-17
136,5.799999999999999e-17,0*1E-18
137,4.065e-13,0*0.251E-13
138,0.0993,0*1.64E-02
139,,1.46E-14
140,241.0,0*
141,161.0,0*12
142,1.5199999999999998e-15,0*4E-17
143,2.21e-19,0*0.7E-20
144,2.21e-19,0
145,1.0234e-11,0*0.303E-12
146,3.78e-15,0*12E-17
147,218.8,0*3.2
148,2.23e-15,0*15E-17
149,0.35,0*0.032
150,0.36,0*0.038
151,0.3954,0*9   
152,2.148e-13,0*0.446E-13
153,4.1e-17,0*5E-18
154,4.870000000000001e-15,0*20E-17
155,5.2099999999999996e-20,0
156,6.400000000000001e-20,0*0.02E-19
157,5.21e-13,0*1.45E-14
158,,2.19E-21
159,,2.19E-14
160,0.499,0*1.48E-02
161,5.8e-19,0*0.16E-19
162,6.370000000000001e-21,0
163,6.37e-14,0*0.55E-14
164,2.0000000000000002e-20,0*0.02E-19
165,2.25e-15,0*26E-17
166,5.996000000000001e-12,0*0.436E-12
167,4.763e-13,0*0.786E-13
168,1.39e-16,0*7E-18
169,7.56e-14,0*0.64E-14
170,7.68e-19,0*0.37E-19
171,1.08,0*6.44E-02
172,1924800.0,0*4.1843E+02
173,1881800.0,0*9.1921E+01
174,,0.37E-14
175,1.5630000000000002,0
176,2.39,0*0.055
177,2.38,0*0.066
178,2.372,0*6   
179,,0.66E-14
180,,0.66E-21
181,4e-17,0*9E-18
182,,1.080E-13
183,1.4519999999999999e-18,0*0.16E-19
184,4.02,0*1.36E-01
185,3.7e-20,0*0.03E-19
186,,10.7E-14
187,,10.7E-21
188,4.0499999999999996e-20,0
189,4.0500000000000004e-13,0*4.21E-14
190,17.05,0*0.045
191,16.08,0*0.058
192,16.62,0*6   
193,7.812000000000001e-16,0*6.36E-17
194,7.114e-16,0*5.27E-17
195,6.541e-16,0*4.45E-17
196,18.21,0*0.840
197,2.149e-16,0*5.71E-17
198,1.258e-16,0*2.38E-17
199,1.924e-16,0*3.58E-17
200,17.041,0
201,16.86,0*0.135
202,17.16,0*7   
203,16.97,0*0.2
204,17.68,0*0.810
205,17.2,0*0.40
206,3.88e-17,0*1.13E-17
207,5.26e-17,0*0.92E-17
208,5.26e-17,0*0.38E-17
209,8.214999999999999e-16,0*1.51E-17
210,7.859e-16,0*2.67E-17
211,6.595e-16,0*1.86E-17
212,10.6,0*0.50
213,10.65,0*0.480
214,8.5,0*0.20
215,5.4,0*0.100
216,3.0,0*0.10
217,2.55e-17,0*0.49E-17
218,3.573,0*0.214
219,1.239,0*0.075
220,0.33899999999999997,0*0.021
221,151.9,0*11.3
222,,12
223,,12
224,9.3,0*1.0
225,7.41,0*0.14
226,7.41,0*0.14
227,46.0,0*6
228,14.87,0*0.10
229,4.2,0*0.13
230,67.5,0*2.5
