,No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
0,1,0.3-8 keV (Chandra),5.38E-15,,erg/s/cm^2^,1.00E+18,5.38E-10,,,,,,Jy,2011ApJS..192...10L,no uncertainty reported,4.15 keV,Broad-band measurement,01 53 06.746 -13 45 34.81 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
1,2,0.3-8 keV (Chandra),8.88E-15,,erg/cm^2^/s,1.00E+18,8.88E-10,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,3,2-7 keV Chandra,1.24E-16,+/-1.0153E-16,erg/cm^2/s,9.19E+17,1.35E-11,1.10E-11,1.10E-11,,,+/-1.10E-11,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;var,From new raw data
3,4,2-7 keV Chandra,1.31E-16,+/-1.0178E-16,erg/cm^2/s,9.19E+17,1.43E-11,1.11E-11,1.11E-11,,,+/-1.11E-11,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;var,From new raw data
4,5,0.5-7 keV Chandra,4.30E-15,+/-9.1348E-16,erg/cm^2/s,5.56E+17,7.73E-10,1.64E-10,1.64E-10,,,+/-1.64E-10,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;var,From new raw data
5,6,0.5-7 keV Chandra,5.66E-15,+/-7.4735E-16,erg/cm^2/s,5.56E+17,1.02E-09,1.34E-10,1.34E-10,,,+/-1.34E-10,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;var,From new raw data
6,7,0.5-7 keV Chandra,4.53E-15,+/-8.9493E-16,erg/cm^2/s,5.56E+17,8.15E-10,1.61E-10,1.61E-10,,,+/-1.61E-10,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,From fitting to map,flux_aper90;var,From new raw data
7,8,0.5-7 keV Chandra,6.05E-15,+/-7.8052E-16,erg/cm^2/s,5.56E+17,1.09E-09,1.40E-10,1.40E-10,,,+/-1.40E-10,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;var,From new raw data
8,9,1.2-2 keV Chandra,2.32E-16,+/-8.5541E-17,erg/cm^2/s,3.77E+17,6.14E-11,2.27E-11,2.27E-11,,,+/-2.27E-11,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;var,From new raw data
9,10,1.2-2 keV Chandra,2.36E-16,+/-9.3548E-17,erg/cm^2/s,3.77E+17,6.25E-11,2.48E-11,2.48E-11,,,+/-2.48E-11,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;var,From new raw data
10,11,0.5-1.2 keV Chandra,8.08E-16,+/-2.2923E-16,erg/cm^2/s,2.22E+17,3.63E-10,1.03E-10,1.03E-10,,,+/-1.03E-10,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;var,From new raw data
11,12,0.5-1.2 keV Chandra,1.03E-15,+/-2.1154E-16,erg/cm^2/s,2.22E+17,4.63E-10,9.51E-11,9.51E-11,,,+/-9.51E-11,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;var,From new raw data
12,13,0.5-1.2 keV Chandra,8.64E-16,+/-2.2874E-16,erg/cm^2/s,2.22E+17,3.88E-10,1.03E-10,1.03E-10,,,+/-1.03E-10,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,From fitting to map,flux_aper90;var,From new raw data
13,14,0.5-1.2 keV Chandra,1.09E-15,+/-2.2157E-16,erg/cm^2/s,2.22E+17,4.91E-10,9.96E-11,9.96E-11,,,+/-9.96E-11,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;var,From new raw data
