,name,2-7 keV Chandra,0.5-7 keV Chandra,1.2-2 keV Chandra,0.5-1.2 keV Chandra,0.2-0.5 keV Chandra,0.3-8 keV (Chandra),0.5-2 keV (Chandra),FUV (GALEX) AB,NUV (GALEX) AB,u (SDSS PSF) AB,g (SDSS PSF) AB,r (SDSS PSF) AB,i (SDSS PSF) AB,z (SDSS PSF) AB,W1 (WISE),W2 (WISE),W3 (WISE),W4 (WISE),2-10 keV (XMM),4.5 microns (IRAC),8.0 microns (IRAC),24 microns (MIPS),J (2MASS/CTIO),H (2MASS/CTIO),K_s (2MASS/CTIO),0.5-8 keV (Chandra),3.6 microns (IRAC),5.8 microns (IRAC),1-2 keV (Chandra)
0,2CXO J000002.8-251139,2.99325e-10,6.011000000000001e-14,3.16925e-14,4.5218e-15,2.87075e-14,,,,,,,,,,,,,,,,,,,,,,,,
1,2CXO J000002.9-350332,9.59905e-14,3.3944499999999997e-13,1.2026500000000004e-13,6.9369e-14,1.53025e-13,8.49e-13,,,,,,,,,,,,,,,,,,,,,,,
2,2CXO J000009.3+135618,,3.155e-15,1.6497499999999998e-15,5.941550000000001e-16,2.52175e-15,,1.7e-15,23.03583333333333,20.677475,19.218,18.893,18.445,18.331,18.11,15.19,14.507666666666665,10.901000000000002,8.420666666666666,,,,,,,,,,,
3,2CXO J000015.4+005246,,4.5161e-14,1.4839e-14,4.46645e-15,2.6982500000000003e-14,,,24.48245,21.7752,19.777,19.615,19.551,19.217,19.138,15.383,14.539333333333332,11.407000000000002,8.349666666666666,,,,,,,,,,,
4,2CXO J000021.0-250812,,8.675350000000002e-14,2.0088e-14,2.2664500000000002e-14,4.666400000000001e-14,,,,,,,,,,,,,,2e-14,201.29,290.77,1122.1999999999996,,,,,,,
5,2CXO J000026.1-250651,5.68885e-14,8.394750000000001e-14,9.487899999999999e-15,3.4573999999999997e-15,7.071849999999999e-14,,1.1059999999999999e-14,22.3506,22.33325,,,,,,16.563333333333333,16.216333333333335,11.911,8.629,1.097975e-14,,,,,,,,,,
6,2CXO J000026.2+134604,1.0992449999999999e-13,1.365e-13,4.1915e-14,2.0119e-14,8.06585e-14,,,20.94675,20.17375,19.3366,19.001600000000003,18.9182,19.0178,18.8406,15.289,14.605333333333334,11.705666666666668,8.065000000000001,,,,,,,,,,,
7,2CXO J000031.8-245458,1.86545e-14,5.2392e-14,1.5163999999999998e-14,9.330150000000001e-15,2.851550000000001e-14,,,,,,,,,,13.325,13.141666666666666,11.934333333333333,8.898666666666667,7.8e-14,,,,14.341,13.722000000000001,13.6425,,,,
8,2CXO J000102.4-245848,,4.80625e-14,1.0918500000000001e-14,9.63745e-15,2.8445e-14,,,,,,,,,,15.988333333333335,15.742333333333333,12.414333333333332,8.301,,,,,,,,,,,
9,2CXO J000111.1-100155,,7.88115e-14,7.86915e-15,1.9038999999999997e-14,5.5341e-14,1.2e-13,,23.0898,22.256500000000006,20.409000000000002,18.799000000000003,18.10128571428572,17.642571428571426,17.368714285714287,13.991,13.394666666666666,10.562666666666663,7.886,,,,,16.069000000000003,15.162,14.967,,,,
10,2CXO J000122.6-250017,1.6236055e-12,2.35525e-13,7.9909e-14,3.62185e-14,1.19095e-13,4.01e-13,,20.6686,19.63775,,,,,,15.074666666666667,13.997333333333332,11.558666666666667,8.459000000000001,1.45e-13,,,,,,,,,,
11,2CXO J000201.9+004541,2.9233e-14,9.93075e-14,1.80355e-14,1.4481999999999998e-14,7.407149999999998e-14,,,22.611425,20.280125,19.695,19.455,19.164,19.054,19.139,,,,,,,,,,,,-12.96,,,
12,2CXO J000230.7+004959,7.324400000000001e-14,1.41675e-13,5.6494000000000006e-14,2.88825e-14,5.6290999999999996e-14,4.05e-13,,22.55435,19.67865,19.0782,18.6706,18.136000000000006,17.976800000000004,17.9838,14.499333333333334,13.194666666666665,10.252666666666665,8.194333333333333,1.052e-13,,,,16.927,16.21,15.532,-12.859000000000002,,,
13,2CXO J000322.9-260318,2.761325e-14,4.628575e-14,1.3858e-14,8.687799999999999e-15,2.3958e-14,7.07e-14,,,,,,,,,13.957666666666668,13.560666666666668,10.348333333333334,7.532333333333334,,,,,16.15,15.741499999999998,14.8845,,,,
14,2CXO J000330.4-260121,,5.3666e-15,2.3762e-16,5.257224999999999e-16,5.090575e-15,,,,,,,,,,,,,,,,,,,,,,,,
15,2CXO J000338.9+160220,7.96445e-14,6.386300000000001e-13,1.7391500000000002e-13,1.0829000000000001e-13,3.59815e-13,,,20.5929,20.01765,18.799857142857142,17.90685714285714,17.31042857142857,16.814714285714285,16.659714285714287,12.128666666666666,11.294666666666664,8.645333333333333,6.360333333333332,,,,,15.1935,14.2395,13.562000000000001,,4330.0,6659.25,
16,2CXO J000354.2-255843,2.21154e-13,1.0103325e-14,1.033355e-14,3.4053500000000008e-15,3.7395e-15,5.83e-14,,,,,,,,,,,,,,,,,12.9645,12.406,12.1385,,,,
17,2CXO J000405.3-260343,1.827157209e-08,4.508825e-14,1.2483525e-14,1.563175e-14,2.0378999999999998e-14,,,,,,,,,,15.834666666666665,15.409666666666665,11.829,8.357999999999999,,,,,,,,,,,
