,Photometry Measurement,Uncertainty
0,,1.14
1,9.4e-14,0
2,7.1e-14,0
3,8.899999999999999e-13,0
4,1.05,0
5,3.7e-13,0*6E-14
6,3.3e-13,0*5E-14
7,4e-13,0*12E-14
8,9.45e-13,0*1.11E-13
9,1.12e-12,0
10,1.01e-12,0
11,8.5979e-14,0*5.7799E-15
12,4.4633e-14,0*2.3257E-15
13,6.0748e-14,0*4.7511E-15
14,3.5586000000000004e-14,0*1.9334E-15
15,8.5163e-13,0*1.3558E-14
16,6.3599e-13,0*8.0833E-15
17,7.5346e-13,0*1.2609E-14
18,6.2716e-13,0*7.8428E-15
19,1.688e-13,0*4.0068E-15
20,1.1315e-13,0*2.2730E-15
21,1.4095e-13,0*3.8489E-15
22,1.0462999999999999e-13,0*2.1510E-15
23,3.6000000000000003e-13,0
24,2.6600000000000003e-13,0
25,3.2e-15,0*1.2E-15
26,1.5494000000000002e-13,0*4.2777E-15
27,1.1089000000000001e-13,0*2.4058E-15
28,1.3900999999999998e-13,0*4.1927E-15
29,1.1007e-13,0*2.3299E-15
30,5.342e-13,0*1.5350E-14
31,4.1655e-13,0*9.9709E-15
32,5.1076e-13,0*1.6439E-14
33,4.338e-13,0*9.7087E-15
34,21.85,0
35,21.81,0
36,16.5,0
37,21.8,0*0.17
38,14.79,0
39,19.66,0*0.25
40,14.81,0
41,16.55,0
42,,
43,,21
44,17.57,0*0.20
45,161.0,0
46,145.0,0
47,144.0,0
48,247.0,0
49,270.0,0
50,0.33299999999999996,0*0.003
51,0.33299999999999996,0*0.001
52,251.0,0
53,448.0,0
54,460.0,0
55,394.0,0
56,109.0,0
57,419.0,0*5   
58,467.0,0
59,479.0,0
60,343.6,0
61,607.0,0
62,669.0,0
63,637.0,0
64,305.0,0
65,503.0,0*15  
66,503.0,0*67
67,547.0,0
68,686.0,0
69,620.0,0
70,652.0,0
71,234.0,0
72,480.0,0
73,393.0,0
74,414.0,0
75,352.0,0
76,220.0,0
77,371.0,0
78,318.0,0
